"symbol","model","eval_set","rmse","rsq","last_refreshed"
"1INCH","lm","holdout",1.4927441439376,0.0479313200515475,"2022-07-18 13:30:40"
"1INCH","lm","test",1.11032405784262,0.254050177289017,"2022-07-18 13:30:40"
"1INCH","nnet","holdout",1.32669564919277,0.135591777050984,"2022-07-18 13:30:40"
"1INCH","nnet","test",3.09719924317042,0.169311018881126,"2022-07-18 13:30:40"
"1INCH","pcr","holdout",1.19883569853033,0.101537619662236,"2022-07-18 13:30:40"
"1INCH","pcr","test",1.46941606113039,0.261401060801494,"2022-07-18 13:30:40"
"1INCH","rf","holdout",2.27195485699218,0.000330418587990693,"2022-07-18 13:30:40"
"1INCH","rf","test",2.20792435525431,0.110135587350744,"2022-07-18 13:30:40"
"1INCH","xgb","holdout",3.06981629333192,0.0531473454697745,"2022-07-18 13:30:40"
"1INCH","xgb","test",2.41528205141667,0.0629584698175209,"2022-07-18 13:30:40"
"ADA","lm","holdout",0.743864043212039,0.750488155518013,"2022-07-18 13:30:40"
"ADA","lm","test",0.854619021999587,0.487538255755339,"2022-07-18 13:30:40"
"ADA","nnet","holdout",1.26899584199418,0.279077375370287,"2022-07-18 13:30:40"
"ADA","nnet","test",1.80204617758903,0.06449455853223,"2022-07-18 13:30:40"
"ADA","pcr","holdout",0.983515408603686,0.715574289377167,"2022-07-18 13:30:40"
"ADA","pcr","test",1.07860607580881,0.250304906460851,"2022-07-18 13:30:40"
"ADA","rf","holdout",2.12485278697368,0.19948214360222,"2022-07-18 13:30:40"
"ADA","rf","test",1.68767992809706,0.0851102695834899,"2022-07-18 13:30:40"
"ADA","xgb","holdout",1.45219107106636,0.2352297926626,"2022-07-18 13:30:40"
"ADA","xgb","test",2.11445392260358,0.08425925888752,"2022-07-18 13:30:40"
"ALCX","lm","holdout",13.5023833511456,0.0213968288332844,"2022-07-18 13:30:40"
"ALCX","lm","test",2.45756837390848,0.237677353768842,"2022-07-18 13:30:40"
"ALCX","nnet","holdout",5.73842757265946,0.51518542795894,"2022-07-18 13:30:40"
"ALCX","nnet","test",2.89399883400592,0.0831280330045711,"2022-07-18 13:30:40"
"ALCX","pcr","holdout",2.16895053827608,0.056477210858816,"2022-07-18 13:30:40"
"ALCX","pcr","test",1.67361350042447,0.169982848934917,"2022-07-18 13:30:40"
"ALCX","rf","holdout",3.03561820821953,0.0227610489857961,"2022-07-18 13:30:40"
"ALCX","rf","test",1.94266385993596,0.0524387907480699,"2022-07-18 13:30:40"
"ALCX","xgb","holdout",3.60590519253401,0.00885317254986711,"2022-07-18 13:30:40"
"ALCX","xgb","test",2.855977281139,0.0118059615909911,"2022-07-18 13:30:40"
"ALICE","lm","holdout",1.16298065231836,0.226578323205532,"2022-07-18 13:30:40"
"ALICE","lm","test",1.34947745525785,0.267264022446164,"2022-07-18 13:30:40"
"ALICE","nnet","holdout",3.92596339543293,0.274626856945166,"2022-07-18 13:30:40"
"ALICE","nnet","test",3.1426969571931,0.155649844856143,"2022-07-18 13:30:40"
"ALICE","pcr","holdout",1.25949461208502,0.127998301980998,"2022-07-18 13:30:40"
"ALICE","pcr","test",1.49533233975818,0.227580001990374,"2022-07-18 13:30:40"
"ALICE","rf","holdout",1.33878657555018,0.090775226167111,"2022-07-18 13:30:40"
"ALICE","rf","test",1.61853614577379,0.106263252016711,"2022-07-18 13:30:40"
"ALICE","xgb","holdout",1.26565890852587,0.165172972985272,"2022-07-18 13:30:40"
"ALICE","xgb","test",2.54507543951528,0.018257865735224,"2022-07-18 13:30:40"
"ALPACA","lm","holdout",22.388256961592,0.0246229124992419,"2022-07-18 13:30:40"
"ALPACA","lm","test",18.8874747939015,0.189635926380864,"2022-07-18 13:30:40"
"ALPACA","nnet","holdout",20.6719805749714,0.121151033316585,"2022-07-18 13:30:40"
"ALPACA","nnet","test",20.7230608489251,0.131282719307167,"2022-07-18 13:30:40"
"ALPACA","pcr","holdout",22.1853454325928,0.0449162022498274,"2022-07-18 13:30:40"
"ALPACA","pcr","test",17.2160545714977,0.222142776480313,"2022-07-18 13:30:40"
"ALPACA","rf","holdout",20.4730830333195,0.127162672222631,"2022-07-18 13:30:40"
"ALPACA","rf","test",21.052044609801,0.206328129833801,"2022-07-18 13:30:40"
"ALPACA","xgb","holdout",26.3991745707462,0.0105321738942743,"2022-07-18 13:30:40"
"ALPACA","xgb","test",25.9604075565434,0.111357074826541,"2022-07-18 13:30:40"
"ANKR","lm","holdout",0.83297930267198,0.522651443688899,"2022-07-18 13:30:40"
"ANKR","lm","test",0.904746677791392,0.460503967620179,"2022-07-18 13:30:40"
"ANKR","nnet","holdout",2.06704324952799,0.327169400898063,"2022-07-18 13:30:40"
"ANKR","nnet","test",1.45754594166015,0.109280292582139,"2022-07-18 13:30:40"
"ANKR","pcr","holdout",0.793493419248128,0.596860193766397,"2022-07-18 13:30:40"
"ANKR","pcr","test",1.20860374846491,0.254153013401153,"2022-07-18 13:30:40"
"ANKR","rf","holdout",2.80247985749457,0.258819088812395,"2022-07-18 13:30:40"
"ANKR","rf","test",1.49164739172112,0.121326945961502,"2022-07-18 13:30:40"
"ANKR","xgb","holdout",1.15887761250331,0.490323413195662,"2022-07-18 13:30:40"
"ANKR","xgb","test",1.88688561212217,0.117180358548761,"2022-07-18 13:30:40"
"ARDR","lm","holdout",0.648967213510731,0.426780025381133,"2022-07-18 13:30:40"
"ARDR","lm","test",1.0670349361847,0.43750473903619,"2022-07-18 13:30:40"
"ARDR","nnet","holdout",0.746508640717068,0.181015849930583,"2022-07-18 13:30:40"
"ARDR","nnet","test",1.70273597411456,0.0999556122092252,"2022-07-18 13:30:40"
"ARDR","pcr","holdout",0.598289294513994,0.603005093695174,"2022-07-18 13:30:40"
"ARDR","pcr","test",1.35475668672948,0.197498857053045,"2022-07-18 13:30:40"
"ARDR","rf","holdout",1.41652703586354,0.177490039460485,"2022-07-18 13:30:40"
"ARDR","rf","test",1.49571520480843,0.140089499711899,"2022-07-18 13:30:40"
"ARDR","xgb","holdout",1.30022480597691,0.137189556809878,"2022-07-18 13:30:40"
"ARDR","xgb","test",2.83317202583903,0.0528788101305809,"2022-07-18 13:30:40"
"ATA","lm","holdout",1.17802029908225,0.632915862507357,"2022-07-18 13:30:40"
"ATA","lm","test",181.515937129283,0.304187492347192,"2022-07-18 13:30:40"
"ATA","nnet","holdout",2.09546219714962,0.291958713853545,"2022-07-18 13:30:40"
"ATA","nnet","test",29.9509940296903,0.144906831671338,"2022-07-18 13:30:40"
"ATA","pcr","holdout",1.9809582957276,0.238235450475584,"2022-07-18 13:30:40"
"ATA","pcr","test",28.6549256405624,0.38101343977159,"2022-07-18 13:30:40"
"ATA","rf","holdout",2.66813390891657,0.249282044403652,"2022-07-18 13:30:40"
"ATA","rf","test",28.8078337064513,0.143709953731012,"2022-07-18 13:30:40"
"ATA","xgb","holdout",1.79667683837792,0.109653578960134,"2022-07-18 13:30:40"
"ATA","xgb","test",29.1153112605525,0.0614113600305721,"2022-07-18 13:30:40"
"ATOM","lm","holdout",0.988274658099667,0.246669188461833,"2022-07-18 13:30:40"
"ATOM","lm","test",0.962939213322936,0.497921655470856,"2022-07-18 13:30:40"
"ATOM","nnet","holdout",1.17705539484897,0.118121287405773,"2022-07-18 13:30:40"
"ATOM","nnet","test",2.35258367889769,0.179938845896404,"2022-07-18 13:30:40"
"ATOM","pcr","holdout",1.24942546198158,0.0083874166113196,"2022-07-18 13:30:40"
"ATOM","pcr","test",1.34857123801183,0.17145883576202,"2022-07-18 13:30:40"
"ATOM","rf","holdout",2.37743090677134,0.0406801370619011,"2022-07-18 13:30:40"
"ATOM","rf","test",3.05148983802864,0.134566741768347,"2022-07-18 13:30:40"
"ATOM","xgb","holdout",1.998169753293,0.0257392851685495,"2022-07-18 13:30:40"
"ATOM","xgb","test",2.70596975634198,0.0934388545385901,"2022-07-18 13:30:40"
"AVA","lm","holdout",12.6127358887264,0.0115001605099568,"2022-07-18 13:30:40"
"AVA","lm","test",0.779753114264372,0.43661944513239,"2022-07-18 13:30:40"
"AVA","nnet","holdout",1.26351194374947,0.0192641692682143,"2022-07-18 13:30:40"
"AVA","nnet","test",2.31565735118984,0.111016841238322,"2022-07-18 13:30:40"
"AVA","pcr","holdout",1.25679826852501,0.0395509976428363,"2022-07-18 13:30:40"
"AVA","pcr","test",1.08004934352467,0.219229209829901,"2022-07-18 13:30:40"
"AVA","rf","holdout",2.04371894501383,0.0746171530139585,"2022-07-18 13:30:40"
"AVA","rf","test",1.57842885880267,0.100712950101573,"2022-07-18 13:30:40"
"AVA","xgb","holdout",1.9022038671086,0.0777168465460378,"2022-07-18 13:30:40"
"AVA","xgb","test",2.34150247935857,0.0592577076231954,"2022-07-18 13:30:40"
"BAKE","lm","holdout",2.39582238934988,0.233808797155466,"2022-07-18 13:30:40"
"BAKE","lm","test",1.80494112669905,0.453249207681871,"2022-07-18 13:30:40"
"BAKE","nnet","holdout",2.19822555770779,0.204748002384762,"2022-07-18 13:30:40"
"BAKE","nnet","test",2.21755796104625,0.131717365339536,"2022-07-18 13:30:40"
